epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4203,1.4509,2.8265,1.7511,0.00593,0.7619,0.04418,0.01504,1.56994,3.29196,1.98638,0.000444444,0.000444444,0.000444444
2,24.2574,1.11896,2.80022,1.48476,0.00593,0.7619,0.04418,0.01504,1.56994,3.29196,1.98638,0.00106711,0.00106711,0.00106711
3,36.5167,1.25355,2.523,1.59054,0.00593,0.7619,0.04418,0.01504,1.56994,3.29196,1.98638,0.00163698,0.00163698,0.00163698
4,49.8786,1.11089,2.6118,1.52382,0.00593,0.7619,0.04418,0.01504,1.56994,3.29196,1.98638,0.0017624,0.0017624,0.0017624
5,68.4386,1.49141,2.63619,1.74997,0.00593,0.7619,0.09949,0.02566,2.44212,3.4366,4.06478,0.0016832,0.0016832,0.0016832
6,84.2172,1.89924,2.70362,2.12799,0.00593,0.7619,0.09949,0.02566,2.44212,3.4366,4.06478,0.001604,0.001604,0.001604
7,96.5239,1.6713,2.46163,1.90889,0.00593,0.7619,0.09949,0.02566,2.44212,3.4366,4.06478,0.0015248,0.0015248,0.0015248
8,109.333,1.53392,2.67238,1.83434,0.00593,0.7619,0.09949,0.02566,2.44212,3.4366,4.06478,0.0014456,0.0014456,0.0014456
9,121.568,1.85573,2.57001,2.08779,0.00593,0.7619,0.09949,0.02566,2.44212,3.4366,4.06478,0.0013664,0.0013664,0.0013664
10,134.066,1.56787,2.39352,1.7852,0.00519,0.66667,0.02238,0.00767,2.05695,3.42953,2.47552,0.0012872,0.0012872,0.0012872
11,146.445,2.05554,2.61216,2.60506,0.00519,0.66667,0.02238,0.00767,2.05695,3.42953,2.47552,0.001208,0.001208,0.001208
12,158.852,1.42991,2.03815,1.79924,0.00519,0.66667,0.02238,0.00767,2.05695,3.42953,2.47552,0.0011288,0.0011288,0.0011288
13,172.239,1.4639,2.26534,1.89628,0.00519,0.66667,0.02238,0.00767,2.05695,3.42953,2.47552,0.0010496,0.0010496,0.0010496
14,187.905,1.0764,2.03169,1.56186,0.00519,0.66667,0.02238,0.00767,2.05695,3.42953,2.47552,0.0009704,0.0009704,0.0009704
15,201.738,1.48461,2.53523,1.98759,0.40881,0.28571,0.21482,0.09772,1.34985,2.90014,1.95019,0.0008912,0.0008912,0.0008912
16,215.305,1.38072,2.61116,1.72543,0.40881,0.28571,0.21482,0.09772,1.34985,2.90014,1.95019,0.000812,0.000812,0.000812
17,228.851,1.76635,2.92022,1.94641,0.40881,0.28571,0.21482,0.09772,1.34985,2.90014,1.95019,0.0007328,0.0007328,0.0007328
18,242.956,1.22289,2.46387,1.47436,0.40881,0.28571,0.21482,0.09772,1.34985,2.90014,1.95019,0.0006536,0.0006536,0.0006536
19,256.014,1.88492,3.23929,2.22202,0.42976,0.33333,0.33452,0.19164,1.15458,2.651,1.6661,0.0005744,0.0005744,0.0005744
20,270.208,0.92798,2.20591,1.36378,0.42976,0.33333,0.33452,0.19164,1.15458,2.651,1.6661,0.0004952,0.0004952,0.0004952
21,284.586,1.22519,2.49504,1.62542,0.42976,0.33333,0.33452,0.19164,1.15458,2.651,1.6661,0.000416,0.000416,0.000416
22,297.636,1.3251,2.64829,1.84957,0.42976,0.33333,0.33452,0.19164,1.15458,2.651,1.6661,0.0003368,0.0003368,0.0003368
23,310.964,1.0374,2.37465,1.56802,0.42976,0.33333,0.33452,0.19164,1.15458,2.651,1.6661,0.0002576,0.0002576,0.0002576
24,324.64,1.39393,2.65569,1.97597,0.58915,0.41048,0.34068,0.20529,1.03976,2.50255,1.46122,0.0001784,0.0001784,0.0001784
25,338.024,1.05684,2.23743,1.61043,0.58915,0.41048,0.34068,0.20529,1.03976,2.50255,1.46122,9.92e-05,9.92e-05,9.92e-05
